,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
38,工作区域,0,0,0,0,0,0,0,0,0,0,0,0,0.005554054,0,0,0,0.000831376
39,梅森公式,0,0,0,0,0,0.023085832,0,0,0,0,0,0,0,0,0,0,0
40,直接调频电路,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006651011
41,力学系统,0,0,0,0,0,0.00271598,0,0,0,0,0,0,0,0,0,0,0
42,耦合电感,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123946106,0,0
43,调频方法,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006651011
44,码率,0,0,0,0,0,0,0.004075569,0,0,0.005813082,0,0,0,0,0,0.03192699,0
45,反射定律,0,0,0,0,0.000475023,0,0,0,0,0,0,0,0,0.001077465,0,0,0
46,生物传感器,0,0,0,0,0.06745331,0,0,0,0,0,0,0,0,0,0,0,0
47,串联谐振回路,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024941293
48,动态随机存储器,0,0,0,0,0,0,0,0,0,0,0.005224279,0,0,0,0,0,0
49,焦耳定律,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005387324,0,0,0
50,Trang,0,0,0,0,0,0,0,0,0,0.000726635,0,0,0,0,0,0,0
51,CMOS电路,0,0,0,0,0,0,0,0,0,0,0.060079211,0,0.001735642,0,0,0.000967485,0
52,幅频特性,0,0,0,0,0.00570028,0.029875783,0,0,0.086308613,0,0,0,0.052763514,0,0.033568737,0,0.009976517
53,载波通信,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000967485,0
54,频域滤波器,0,0,0,0,0,0,0,0,0,0.000726635,0,0,0,0,0,0,0
55,功率谱密度,0,0,0,0.004601216,0,0,0,0,0.0008807,0,0,0,0,0,0,0.203171754,0.003325506
56,平稳随机过程,0,0,0,0,0.000950047,0,0.002037784,0,0,0,0,0,0,0,0,0.020317175,0
57,RC电路,0,0,0,0,0.000475023,0.00407397,0,0,0,0,0.008707132,0,0.005206926,0,0.025822105,0,0.004988259
58,多阈值,0,0,0,0,0,0,0,0,0,0.00145327,0,0,0,0,0,0,0
59,电感式,0,0,0,0,0.008075396,0,0,0,0,0,0,0,0,0,0,0,0
60,反证法,0,0,0,0,0,0,0,0,0.0008807,0,0,0.001954692,0,0.003232395,0,0,0
61,采样定理,0,0,0,0,0.000475023,0,0,0,0.023778904,0,0,0,0,0,0,0,0
62,二重积分,0,0,0.045855573,0,0,0.00407397,0,0,0,0,0,0,0,0,0,0,0
63,人工神经网络,0,0,0,0,0.003800186,0,0,0,0,0,0,0,0,0,0.003873316,0,0
64,特性阻抗,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001077465,0.028404316,0,0.004988259
65,状态转换表,0,0,0,0,0,0,0,0,0,0,0.050501366,0,0,0,0,0,0
66,低分辨率,0,0,0,0,0,0,0,0,0,0.010172893,0,0,0,0,0,0,0
67,PLC,0,0,0,0,0.002375117,0,0,0,0,0,0,0,0,0,0,0,0
68,交流通路,0,0,0,0,0,0,0,0,0,0,0,0,0.034712838,0,0,0,0.003325506
69,分支结构,0.001131516,0,0,0.202453511,0.000475023,0,0,0.008402364,0,0,0,0.001954692,0,0,0,0,0
70,卷积和,0,0,0,0,0,0.078763428,0,0,0.0017614,0.003633176,0,0,0,0,0,0,0
71,单向导电性,0,0,0,0,0.000950047,0,0,0,0,0,0.000870713,0,0.011802365,0,0,0,0
72,定时器,0,0,0,0,0.002375117,0,0,0.323491024,0,0,0.006094992,0,0,0,0,0,0
73,伪随机码,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007739876,0
74,额定功率,0,0,0,0,0,0,0,0,0,0,0,0,0.000694257,0,0,0,0.000831376
75,电容元件,0,0,0,0,0,0,0,0,0,0,0.001741426,0,0,0,0.074884106,0,0.003325506
76,同步计数器,0,0,0,0,0,0,0,0,0,0,0.006094992,0,0,0,0,0,0
77,鉴频方法,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001662753
78,额定负载,0,0,0,0,0,0,0,0,0,0,0,0,0.000694257,0,0,0,0
79,乘法器,0,0,0,0,0.006650326,0.016295882,0.012226706,0,0.021136803,0.000726635,0.000870713,0,0.039572636,0,0.001291105,0.002902454,0.037411939
80,最佳接收准则,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000967485,0
81,TTL反相器,0,0,0,0,0,0,0,0,0,0,0.030474962,0,0,0,0,0,0
82,图像描述,0,0,0,0,0,0,0,0,0,0.005086446,0,0,0,0,0,0,0
83,仿真器,0,0,0,0,0.000475023,0,0,0.033609457,0,0,0.000870713,0,0,0,0,0,0
84,算法复杂度,0,0,0,0,0,0,0.002037784,0,0,0,0,0.009773458,0,0,0,0,0
85,化学传感器,0,0,0,0,0.013300653,0,0,0,0,0,0,0,0,0,0,0,0
86,尺度变换,0,0,0,0,0,0.040739704,0,0,0.003522801,0.008719622,0,0,0,0,0,0,0
87,网络资源,0,0,0,0.009202432,0,0,0,0,0,0,0,0,0,0,0,0,0
88,地址映射,0,0,0,0,0,0,0,0,0,0,0.000870713,0,0,0,0,0,0
89,热电效应,0,0,0,0,0.003800186,0,0,0,0,0,0,0,0,0,0,0,0
90,指数分布,0,0,0,0,0,0,0,0,0,0.000726635,0,0,0,0,0,0,0
91,分支控制,0,0,0,0,0,0,0,0,0,0,0,0.017592224,0,0,0,0,0
92,快速傅里叶变换,0,0,0,0,0,0.00135799,0.002037784,0,0.014091202,0.009446258,0,0,0,0,0,0,0
93,间接调频电路,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000831376
94,数字基带信号,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04256932,0.013302023
95,角动量,0,0,0,0,0.000475023,0,0,0,0,0,0,0,0,0.003232395,0,0,0
96,SCLK,0,0,0,0,0,0,0,0,0,0,0.00261214,0,0,0,0,0,0
97,电阻式加速度传感器,0,0,0,0,0.002375117,0,0,0,0,0,0,0,0,0,0,0,0
98,码盘式编码器,0,0,0,0,0.00285014,0,0,0,0,0,0,0,0,0,0,0,0
99,逆z变换,0,0,0,0,0,0.032591763,0,0,0,0,0,0,0,0,0,0,0
100,源和场,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00215493,0,0,0
101,计算机语言,0.021498798,0,0,0,0,0,0,0,0,0,0,0.005864075,0,0,0,0,0
102,功放,0,0,0,0,0,0,0,0,0,0,0,0,0.016662162,0,0,0,0.021615787
103,条件运算符,0.012446673,0.022108222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,关系运算符,0.028287892,0.022108222,0.013101592,0,0,0,0,0,0,0,0,0.001954692,0,0,0,0,0
105,功率守恒,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010328842,0,0
106,z变换,0,0,0,0,0,0.210488471,0,0,0,0,0,0,0,0,0,0,0
107,安培环路定律,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015084508,0.002582211,0,0
108,多态,0,0.022108222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,幅度特性函数,0,0,0,0,0,0,0,0,0.005284201,0,0,0,0,0,0,0,0
110,查表法,0,0,0,0,0,0.00271598,0,0.001400394,0.0017614,0,0,0,0,0,0,0.000967485,0
111,过零比较器,0,0,0,0,0,0,0,0,0,0,0,0,0.004859797,0,0,0,0
112,散列函数,0,0,0,0,0,0,0,0,0,0,0,0.127054948,0,0,0,0,0
113,形式参数,0.016972735,0.008290583,0,0.004601216,0,0,0,0,0,0,0,0,0,0,0,0,0
114,指针,0.462789919,0.008290583,0.072058757,0.055214594,0.002375117,0,0,0.092426007,0,0.000726635,0,0.398757067,0,0,0,0.009674845,0
115,饱和点,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001291105,0,0
116,NTC,0,0,0,0,0.001900093,0,0,0,0,0,0,0,0,0,0,0,0
117,面密度,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028014086,0,0,0
118,机械波,0,0,0,0,0.001900093,0,0,0,0,0,0,0,0,0,0,0,0
119,实时操作系统,0,0,0,0,0.000950047,0,0,0,0,0,0,0,0,0,0,0,0
120,局部性,0,0,0,0,0,0,0,0,0,0.000726635,0,0,0,0,0,0,0
121,单源最短路径,0,0,0,0,0,0,0,0,0,0,0,0.009773458,0,0,0,0,0
122,基因芯片,0,0,0,0,0.002375117,0,0,0,0,0,0,0,0,0,0,0,0
123,字调制系统,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018382206,0.016627528
124,高频功率放大器,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006651011
125,转义字符,0.014709704,0.005527056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,串联型稳压电路,0,0,0,0,0,0,0,0,0,0,0,0,0.018744933,0,0,0,0
127,分辨力,0,0,0,0,0.00712535,0,0,0,0,0,0,0,0,0,0,0,0.004156882
128,整波,0,0,0.006550796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,阻尼,0,0,0,0.023006081,0.010925536,0.00135799,0,0,0,0,0,0,0,0,0,0,0.000831376
130,指数函数,0,0,0.052406369,0,0.000950047,0.043455684,0.002037784,0,0,0,0,0,0,0.001077465,0.012911053,0.000967485,0
131,方波,0,0,0.026203184,0.027607297,0.014250699,0.024443822,0.004075569,0.021005911,0.0008807,0,0.00261214,0,0.026381757,0,0,0.007739876,0.006651011
132,小信号调谐放大器,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000831376
133,二值图像,0,0,0,0,0,0,0,0,0,0.059584087,0,0,0,0,0,0,0
134,拉普拉斯逆变换,0,0,0.019652388,0,0,0.031233773,0,0,0,0,0,0,0,0,0,0,0.001662753
135,热电式传感器,0,0,0,0,0.010925536,0,0,0,0,0,0,0,0,0,0,0,0
136,数模转换器,0,0,0,0,0.000475023,0,0,0,0,0,0,0,0.000694257,0,0,0,0
137,输出阻抗,0,0,0,0,0.00285014,0,0,0,0,0,0,0,0.000694257,0.001077465,0.001291105,0,0.008313764
138,网络设施,0,0,0,0,0.001900093,0,0,0,0,0,0,0,0,0,0,0,0
139,晶体振荡器,0,0,0,0,0,0,0,0.001400394,0,0,0,0,0,0,0,0.002902454,0.044894327
140,顺序程序设计,0.029419408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,连续信源,0,0,0,0,0,0,0,0,0,0.000726635,0,0,0,0,0,0,0
142,网络接口,0,0,0,0.018404865,0.005225256,0,0,0,0,0,0,0,0,0,0,0.003869938,0
143,时不变性,0,0,0,0,0,0.014937892,0,0,0,0,0,0,0,0,0,0,0
144,hash,0,0,0,0.036809729,0,0,0,0,0,0,0,0,0,0,0,0,0
145,并联型网络结构,0,0,0,0,0,0,0,0,0.0008807,0,0,0,0,0,0,0,0
146,移位寄存器,0,0,0,0,0.008075396,0,0.136531555,0.022406305,0,0,0.056596359,0,0,0,0,0.001934969,0
147,正弦曲线,0,0,0.045855573,0,0,0,0,0,0,0.006539717,0,0,0,0,0,0,0
148,嵌入式系统,0.001131516,0,0,0,0.002375117,0,0,0,0.0008807,0,0,0,0,0,0,0,0
149,压电式力传感器,0,0,0,0,0.001900093,0,0,0,0,0,0,0,0,0,0,0,0
150,谐波,0,0,0,0,0.006175303,0.066541517,0,0,0.013210502,0.012352798,0.000870713,0,0.010413852,0,0.089086264,0.009674845,0.072329748
151,无源区,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008619719,0,0,0
152,微分运算电路,0,0,0,0,0,0,0,0,0,0,0,0,0.011108108,0,0,0,0
153,声压,0,0,0,0,0.002375117,0,0,0,0,0,0,0,0,0,0,0,0
154,二极管双T型交流电桥,0,0,0,0,0.00427521,0,0,0,0,0,0,0,0,0,0,0,0
155,最短路径,0,0,0,0,0,0,0.034642335,0,0,0,0,0.164194086,0,0,0,0,0
156,杂质半导体,0,0,0,0,0,0,0,0,0,0,0,0,0.004165541,0,0,0,0
157,集射极,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000831376
158,介电强度,0,0,0,0,0.000475023,0,0,0,0,0,0,0,0,0,0,0,0
159,模糊传感器,0,0,0,0,0.029451445,0,0,0,0,0,0,0,0,0,0,0,0
160,自由电子,0,0,0,0,0.006650326,0,0,0,0,0.000726635,0,0,0.027423142,0.016161973,0,0.001934969,0.002494129
161,面向对象程序设计,0.002263031,0,0.006550796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,D触发器,0,0,0,0,0.001900093,0,0.002037784,0,0,0,0.0461478,0,0,0,0,0,0
163,基尔霍夫电流定律,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002582211,0,0
164,直流电桥,0,0,0,0,0.004750233,0,0,0,0,0,0,0,0,0,0,0,0
165,线性常系数微分方程,0,0,0,0,0,0,0,0,0.0008807,0,0,0,0,0,0,0,0
166,局部参数,0,0,0,0,0,0,0,0,0,0.00145327,0,0,0,0,0,0,0
167,平移变换,0,0,0,0,0,0,0,0,0,0.002179906,0,0,0,0,0,0,0
168,静态工作点,0,0,0,0,0,0,0,0,0,0,0.005224279,0,0.082963684,0,0.023239895,0,0.018290281
169,无线化,0,0,0,0,0.003800186,0,0,0,0,0,0,0,0,0,0,0,0
170,线性方程,0,0,0.006550796,0,0,0,0.002037784,0,0,0,0,0,0,0,0.001291105,0.003869938,0.000831376
171,输入输出通道,0,0,0,0,0.00285014,0,0,0,0,0,0,0,0,0,0,0,0
172,频域表达,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001934969,0
173,奇偶校验,0,0,0,0,0,0,0.01834006,0.008402364,0,0,0.003482853,0,0,0,0,0.003869938,0
174,无源,0,0,0,0,0,0.00135799,0,0,0,0,0.001741426,0,0.006248311,0.021549297,0.018075474,0.000967485,0.004156882
175,显示译码器,0,0,0,0,0,0,0,0,0,0,0.007836419,0,0,0,0,0,0
176,内光电效应型,0,0,0,0,0.00142507,0,0,0,0,0,0,0,0,0,0,0,0
177,半波整流,0,0,0.026203184,0,0,0.010863921,0,0,0,0,0,0,0.015967906,0,0,0,0
178,光电效应,0,0,0,0,0.013300653,0,0,0,0,0,0,0,0,0,0,0,0
179,译码规则,0,0,0,0,0,0,0.040755688,0,0,0,0,0,0,0,0,0,0
180,静态标定,0,0,0,0,0.003800186,0,0,0,0,0,0,0,0,0,0,0,0
181,反射光栅,0,0,0,0,0.000475023,0,0,0,0,0,0,0,0,0,0,0,0
182,特征函数,0,0,0,0,0,0,0,0,0,0.00145327,0,0,0,0,0,0,0
183,欠阻尼,0,0,0,0,0.00142507,0.005431961,0,0,0,0,0,0,0,0,0.005164421,0,0
184,变面积型,0,0,0,0,0.00855042,0,0,0,0,0,0,0,0,0,0,0,0
185,slave,0,0,0,0,0,0,0,0,0,0,0.000870713,0,0,0,0,0,0
186,中波段,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001662753
187,物理地址,0.001131516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,通频带,0,0,0,0,0,0,0,0,0.0017614,0,0,0,0.024993244,0,0.005164421,0.005804907,0.081474889
189,二叉搜索树,0,0,0,0,0,0,0,0,0,0,0,0.130964331,0,0,0,0,0
190,时域离散信号,0,0,0,0,0,0,0,0,0.091592814,0,0,0,0,0,0,0,0
191,符号语言,0.006789094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,回路电流,0,0,0,0,0,0,0,0,0,0,0,0,0.006248311,0.030169016,0.094250685,0,0.016627528
193,反相求和,0,0,0,0,0,0,0,0,0,0,0,0,0.005554054,0,0,0,0
194,生成树,0,0,0,0,0,0,0,0,0,0,0,0.097734575,0,0,0,0,0
195,光栅,0,0,0,0,0.083604103,0,0,0.001400394,0,0.00145327,0,0,0,0,0,0,0
196,并行接口,0,0,0,0,0,0,0,0.002800788,0,0,0,0,0,0,0,0,0
197,变介质型,0,0,0,0,0.009025443,0,0,0,0,0,0,0,0,0,0,0,0
198,s域积分,0,0,0,0,0,0.00271598,0,0,0,0,0,0,0,0,0,0,0
199,微控制器,0,0,0,0,0,0,0,0.00700197,0,0,0,0,0,0,0,0,0.000831376
200,线性元件,0,0,0,0,0,0,0,0,0,0,0,0,0.001388514,0,0.011619947,0,0.008313764
201,波阻抗,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061415497,0.002582211,0,0
202,穷举法,0.001131516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,单极性归零波形,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000967485,0
204,WarpingTrans,0,0,0,0,0,0,0,0,0,0.000726635,0,0,0,0,0,0,0
205,电容效应,0,0,0,0,0,0,0,0,0,0,0,0,0.003471284,0,0.003873316,0,0
206,s域微分,0,0,0,0,0,0.005431961,0,0,0,0,0,0,0,0,0,0,0
207,复信号,0,0,0,0,0,0.023085832,0,0,0.0026421,0,0,0,0,0,0,0.000967485,0
208,磁场力,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028014086,0,0,0
209,十六进制,0.01584122,0.044216444,0.013101592,0.105827972,0,0,0,0.056015762,0,0.003633176,0.04353566,0,0,0,0,0,0
210,脉冲幅度,0,0,0,0,0.000475023,0,0,0,0,0,0.004353566,0,0,0,0,0,0
211,VDD,0,0,0,0,0,0,0,0,0,0,0.065303491,0,0.001041385,0,0,0,0
212,ppData,0,0,0,0.004601216,0,0,0,0,0,0,0,0,0,0,0,0,0
213,直流反馈,0,0,0,0,0,0,0,0,0,0,0,0,0.015273649,0,0,0,0
214,JPEG编码,0,0,0,0,0,0,0,0,0,0.000726635,0,0,0,0,0,0,0
215,图像去噪,0,0,0,0,0,0,0,0,0,0.00145327,0,0,0,0,0,0,0
216,电阻应变片,0,0,0,0,0.057002797,0,0,0,0,0,0,0,0,0,0,0,0
217,分子式,0,0,0,0,0.00285014,0,0,0,0,0,0,0,0,0,0,0,0
218,双工器,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002494129
219,保真度准则,0,0,0,0,0,0,0,0,0,0.008719622,0,0,0,0,0,0,0
220,面向对象,0.005657578,0.022108222,0.013101592,0.05981581,0.000475023,0,0,0,0,0,0,0.001954692,0,0,0,0,0
221,高频小信号调谐放大器,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001662753
222,摩擦力,0,0,0,0,0,0.00135799,0,0,0,0,0,0,0,0,0,0,0
223,深度学习,0,0,0,0.004601216,0.00142507,0,0,0,0,0,0,0,0,0,0,0,0
224,正则表达式,0,0.187919888,0,0.055214594,0,0,0,0,0,0,0,0,0,0,0,0,0
225,共集放大电路,0,0,0,0,0,0,0,0,0,0,0,0,0.01943919,0,0,0,0
226,高压缩,0,0,0,0,0,0,0,0,0,0.000726635,0,0,0,0,0,0,0
227,比热容,0,0,0,0,0.000475023,0,0,0,0,0,0,0,0,0,0,0,0
228,指令系统,0,0,0,0,0,0,0,0.050414186,0,0,0,0,0,0,0,0,0
229,非线性元器件,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004156882
230,电阻热噪声,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000831376
231,电流串联负反馈,0,0,0,0,0,0,0,0,0,0,0,0,0.006942568,0,0,0,0
232,哈夫曼树,0,0,0,0,0,0,0,0,0,0,0,0.066459511,0,0,0,0,0
233,逻辑函数式,0,0,0,0,0,0,0,0,0,0,0.086200608,0,0,0,0,0,0
234,巴特沃斯低通滤波器,0,0,0,0,0,0,0,0,0.007926301,0,0,0,0,0,0,0,0
235,数据压缩,0,0,0,0,0,0,0.008151138,0,0,0.005813082,0,0,0,0,0,0.003869938,0
236,作差,0,0,0,0,0,0,0,0,0,0,0,0,0.000347128,0,0,0,0
237,码分复用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003869938,0
238,指针数组,0.053181238,0,0,0,0,0,0,0,0,0,0,0.005864075,0,0,0,0,0
239,数字通信系统,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046439258,0.010807893
240,抽样定理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018382206,0
241,z域分析,0,0,0,0,0,0.047529655,0,0,0,0,0,0,0,0,0,0,0
242,信号产生函数,0,0,0,0,0,0,0,0,0.007045601,0,0,0,0,0,0,0,0
243,非线性调制,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004837423,0.003325506
244,RC正弦波振荡电路,0,0,0,0,0,0,0,0,0,0,0,0,0.004165541,0,0,0,0
245,概率模型,0,0,0,0,0,0,0,0,0,0.004359811,0,0,0,0,0,0,0
246,调频电路,0,0,0,0,0.003800186,0,0,0,0,0,0,0,0,0,0,0.000967485,0.008313764
247,LC正弦波振荡电路,0,0,0,0,0,0,0,0,0,0,0,0,0.006248311,0,0,0,0
248,有源负载,0,0,0,0,0,0,0,0,0,0,0.000870713,0,0.01943919,0,0,0,0
249,普通编码器,0,0,0,0,0,0,0.002037784,0,0,0,0.006965706,0,0,0,0,0,0
250,出栈,0,0,0,0,0,0,0,0,0,0,0,0.027365681,0,0,0,0,0
251,微传感器,0,0,0,0,0.016625816,0,0,0,0,0,0,0,0,0,0,0,0
252,计时器,0,0,0,0.009202432,0,0,0,0.001400394,0,0.000726635,0,0,0,0,0,0,0
253,线性区,0,0,0,0,0,0,0,0,0,0,0.006094992,0,0.015273649,0,0.007746632,0,0.000831376
254,离散数学,0,0,0,0,0,0,0,0,0,0,0,0.003909383,0,0,0,0,0.004156882
255,载波同步,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024187114,0
256,最值,0,0,0.006550796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,驻波,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042021129,0.010328842,0,0
258,数据库系统,0,0,0,0,0.000475023,0,0,0,0,0,0,0,0,0,0,0,0
259,函数递归,0,0,0,0.009202432,0,0,0,0,0,0,0,0.007818766,0,0,0,0,0
260,导电介质,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10666902,0,0,0
261,整流器,0,0,0,0,0,0,0,0,0,0,0.000870713,0,0.000694257,0,0,0.003869938,0
262,对数变换,0,0,0,0,0,0,0,0,0,0.010172893,0,0,0,0,0,0,0
263,长尾式差分放大电路,0,0,0,0,0,0,0,0,0,0,0,0,0.00208277,0,0,0,0
264,schungundentwicklung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000967485,0
265,声源,0,0,0,0,0.001900093,0,0,0,0,0,0,0,0,0,0,0,0
266,横电波,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00215493,0,0,0
267,无伴电压源,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023239895,0,0
268,脉冲触发,0,0,0,0,0.000475023,0,0,0,0,0,0.023509257,0,0,0,0,0,0
269,信号带宽,0,0,0,0,0,0.00407397,0,0,0.0008807,0,0,0,0.000694257,0,0,0.028057052,0.005819635
270,强磁场,0,0,0,0,0.000475023,0,0,0.001400394,0,0.000726635,0,0,0,0.004309859,0.001291105,0,0
271,树图,0,0,0,0,0,0,0.014264491,0,0,0,0,0,0,0,0,0,0
272,电位器,0,0,0,0,0.00570028,0,0,0,0,0,0.00261214,0,0.012496622,0,0,0,0.01163927
273,代码复用,0,0,0,0.124232837,0,0,0,0,0,0,0,0,0,0,0,0,0
274,概率分布,0,0,0,0.004601216,0.002375117,0,0.114115926,0,0,0.002906541,0,0,0,0,0,0.01064233,0
275,RLC并联电路,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009037737,0,0
276,最大项之积,0,0,0,0,0,0,0,0,0,0,0.005224279,0,0,0,0,0,0
277,波形信道,0,0,0,0,0,0,0.002037784,0,0,0,0,0,0,0,0,0,0
278,矩形波导,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074345075,0,0,0
279,状态机流程图,0,0,0,0,0,0,0,0,0,0,0.006965706,0,0,0,0,0,0
280,横磁波,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00215493,0,0,0
